runtime,test,cross_fs,cache,files,time,cpu_user,cpu_sys
bash,npm-install,false,true,1791,1.603,0.120,0.045
bash,npm-install,false,false,1791,4.490,0.060,0.090
bash,files-find,false,none,32722,0.074,0.000,0.061
bash,files-create-delete,false,none,1000,0.449,0.077,0.359
bash,npm-install,true,true,1791,5.371,0.120,0.030
bash,npm-install,true,false,1791,5.313,0.060,0.105
bash,files-find,true,none,12711,1.009,0.124,0.109
bash,files-create-delete,true,none,1000,6.136,0.438,0.843
bash,npm-install,false,true,1791,1.510,0.075,0.045
bash,npm-install,false,false,1791,2.010,0.015,0.090
bash,files-find,false,none,32722,0.070,0.015,0.046
bash,files-create-delete,false,none,1000,0.445,0.123,0.313
bash,npm-install,true,true,1791,4.862,0.045,0.090
bash,npm-install,true,false,1791,5.483,0.060,0.030
bash,files-find,true,none,12711,0.893,0.062,0.093
bash,files-create-delete,true,none,1000,6.312,0.732,0.562
bash,npm-install,false,true,1791,1.512,0.075,0.060
bash,npm-install,false,false,1791,1.894,0.045,0.076
bash,files-find,false,none,32722,0.071,0.046,0.046
bash,files-create-delete,false,none,1000,0.450,0.046,0.404
bash,npm-install,true,true,1791,4.940,0.138,0.076
bash,npm-install,true,false,1791,5.135,0.076,0.090
bash,files-find,true,none,12711,0.816,0.093,0.093
bash,files-create-delete,true,none,1000,6.095,0.311,0.968
bash,npm-install,false,true,1791,1.458,0.045,0.090
bash,npm-install,false,false,1791,2.024,0.060,0.090
bash,files-find,false,none,32722,0.072,0.015,0.031
bash,files-create-delete,false,none,1000,0.480,0.092,0.405
bash,npm-install,true,true,1791,5.952,0.091,0.122
bash,npm-install,true,false,1791,7.997,0.060,0.122
bash,files-find,true,none,12711,0.832,0.109,0.093
bash,files-create-delete,true,none,1000,5.868,0.469,0.998
bash,npm-install,false,true,1791,1.551,0.091,0.045
bash,npm-install,false,false,1791,2.293,0.060,0.105
bash,files-find,false,none,32722,0.083,0.015,0.031
bash,files-create-delete,false,none,1000,0.459,0.062,0.405
bash,npm-install,true,true,1791,5.117,0.122,0.046
bash,npm-install,true,false,1791,5.280,0.107,0.090
bash,files-find,true,none,12711,0.999,0.124,0.078
bash,files-create-delete,true,none,1000,6.215,0.546,0.874
bash,npm-install,false,true,1791,1.621,0.045,0.152
bash,npm-install,false,false,1791,2.010,0.092,0.030
bash,files-find,false,none,32722,0.073,0.031,0.031
